,0,1
0,26059110,31909278
1,26059200,75674341
2,2605910,92299222
3,26059170,77912127
4,2605950,109719162
5,26059190,87998188
6,26059210,43004874
7,2603330,245634077
8,2603370,183564072
9,26033180,366201804
10,2603390,280396342
11,26033120,3741766
12,26059150,91045984
13,26059100,3067339
14,26059120,91886318
15,26033140,21219007
16,2603320,225318783
17,26033100,253324052
18,26033170,266695707
19,2603360,333860563
20,2605920,93254222
21,26059250,112274568
22,26059130,6133883
23,26033200,71521
24,2603380,310093480
25,26059140,85736401
26,26059230,92335272
27,26059180,2621526
28,26059240,77839086
29,2605960,59115018
30,26059160,91746896
31,26063300,91252874
32,26063160,91883241
33,2606360,91414909
34,2606350,35791224
35,26063140,86835236
36,26063290,88404906
37,26063180,92304725
38,26063270,113938847
39,26063130,77179633
40,26063230,61298193
41,2605990,2465236
42,2605940,90229568
43,2605970,3392141
44,26059220,43538762
45,2606310,5705310
46,2606320,92607304
47,26063150,53111296
48,26063220,42150730
49,26063310,1451771
50,2606330,92558933
51,26063200,93276751
52,26063110,91560317
53,2606340,91923489
54,26063250,84203320
55,26063100,17596448
56,2606390,54541061
57,26063260,93615360
58,26033160,127783346
59,26033150,129836933
60,2603310,167645826
61,26033130,13304997
62,26033190,625425220
63,2605930,77602007
64,2605980,6398951
65,26033110,232159717
66,2603350,126275846
67,2603340,123761356
68,26063280,92299591
69,26063170,52248941
70,26063240,94130156
71,26063190,91444372
72,2606370,90305409
73,26063120,4542093
74,26063210,3327109
75,2606380,92529193
76,26007130,140359971
77,26007110,52858472
78,2600760,968610
79,2600740,2859232
80,2600720,7457075
81,26015300,47225816
82,26015150,3390605
83,26015170,84200781
84,2601570,27295242
85,26031180,181755185
86,26031170,73495715
87,26031160,49195725
88,2603130,151932106
89,26043170,288672581
90,2601390,0
91,2601360,497096891
92,2603180,92163956
93,2603160,9231569
94,2603140,51130433
95,26031190,76177874
96,26031210,124859460
97,26031220,92638601
98,2603110,76285670
99,26031100,126342566
100,26007140,133699815
101,2600710,6816211
102,2600780,117191352
103,26015290,90702911
104,26015110,62774355
105,2603190,177588986
106,26031200,88841709
107,2600730,2603908
108,2600770,67095064
109,26007180,205289537
110,2601590,14794280
111,26015130,3567349
112,26035220,32354190
113,2600790,22218854
114,26035190,55662744
115,2603580,23283189
116,26035140,14243080
117,2603570,15441767
118,26007150,273847097
119,2600750,1416832
120,26141130,91742333
121,2601540,86937153
122,26035120,9631953
123,2603530,91510294
124,26035130,92967583
125,2603590,46171175
126,26015310,38466297
127,26015280,21528847
128,26035160,21818100
129,2603510,93300628
130,26035240,20720705
131,26015340,90117468
132,2601530,4703767
133,2603520,7365150
134,26035230,91159168
135,26015330,1526171
136,2600380,377218761
137,2600350,183054732
138,26035100,91159231
139,2603540,89582825
140,2603560,86468269
141,26015140,1516000
142,26015350,46282556
143,2600370,146504976
144,26003100,209127902
145,2600340,192245958
146,26003110,43326
147,2600310,365887003
148,2600330,58219265
149,2600320,596904979
150,2600360,13603961
151,2600390,227225587
152,2603550,90556239
153,26035170,6320718
154,26015160,77740827
155,26015190,21348828
156,26015220,1780181
157,26035180,35184285
158,26035150,38627065
159,26035210,61275099
160,2601520,18270476
161,26015250,79366169
162,26015240,72634207
163,2601510,74635726
164,2601380,391381816
165,26035200,90246314
166,26035110,92896880
